Timestamp,求职活跃度,就业困难/压力,失业/裁员压力,结构性/弱势群体压力
2023-01-31,6.883555039455077,18.76166866092196,70.63181419468083,62.87453631108265
2023-02-28,14.187085962486343,17.431770936127272,19.355855324166743,18.572368173440967
2023-03-31,66.29083621810759,76.35541651920427,22.41693434412645,10.73868342987209
2023-04-30,20.05730328916313,15.85378861466519,30.077980805165048,19.256367591883613
2023-05-31,20.45881160360426,13.765739729423315,21.27839371286903,15.842355854501864
2023-06-30,74.77983799840834,74.13161586176295,32.028300450774466,23.90378023238535
2023-07-31,84.75196544447563,76.35593912648928,27.025629984249697,27.379712498500805
2023-08-31,25.387742883917138,26.12763716482551,29.002168702424253,37.21572990122372
2023-09-30,22.78028521425468,21.460021983154963,17.62996924980349,27.7550554442528
2023-10-31,22.044239482280855,30.10671419698178,34.6658184333002,28.82138094906907
2023-11-30,17.40686237290147,21.078024583806265,32.604100743178655,32.48549903345664
2023-12-31,31.413471304362318,31.167641426373965,82.51883552998193,78.12173759046627
2024-01-31,33.276915885916,28.42382379030893,77.39126787950987,71.77599573561646
2024-02-29,30.813311930249036,31.526527571871256,38.80872389061573,41.98851343211596
2024-03-31,84.33272300079554,93.27998242133489,42.12973798455742,41.22005747132379
2024-04-30,26.823914427723995,37.44927475339615,38.48237909729517,33.68333344652687
2024-05-31,37.788448645917704,41.568526690425536,43.506100794095595,37.70007556043646
2024-06-30,91.26697958553768,83.74797719613765,47.53663958700029,42.86401485149183
2024-07-31,90.76922149271041,86.36850443433711,46.733771817353194,42.15189219653015
2024-08-31,36.000806291899345,35.483432944223864,45.206031740938286,48.625330341621975
2024-09-30,42.56062660972324,44.185980077342315,35.705482301759,45.69765311067662
2024-10-31,44.13357209109793,44.21609342925436,57.86932621777184,49.941998915087396
2024-11-30,42.59009689598824,44.37228412515447,53.70384454464835,49.61717500603034
2024-12-31,40.833672708138025,50.257892764567664,98.08389635300205,96.99402064012489
